Mutated_Gene,Affected_Gene,Expression_Diff
DNMT3A,3514,7778.927596969694
DNMT3A,106480796,1169.776585000001
DNMT3A,28444,998.7067031818183
DNMT3A,3501,940.6491042424243
DNMT3A,3500,821.2150236363636
ELF4,3514,9211.858015174126
ELF4,4512,7293.705637810941
ELF4,3043,5376.80094726368
ELF4,4514,4674.8345925373105
ELF4,28444,1623.4771206467663
FLT3,5552,2078.5103708955194
FLT3,1672,926.079500995025
FLT3,678,874.7664398009952
FLT3,1938,597.0548131840799
FLT3,6191,543.5591823383081
IDH2,3043,4865.6749150375945
IDH2,378938,2422.2250086466174
IDH2,4550,2319.3326911654076
IDH2,1791,1049.857111842105
IDH2,5657,977.0655657894736
KRAS,4550,45444.00028383084
KRAS,4549,9687.869649999991
KRAS,4509,7345.211746766168
KRAS,4539,7148.031815174134
KRAS,5552,5202.186981840796
NPM1,3043,1087.5086033914722
NPM1,100887749,799.5186220930232
NPM1,4513,712.538396996144
NPM1,6191,452.0464981589146
NPM1,847,431.27694844961263
RUNX1,4550,16371.180417481184
RUNX1,3514,8841.997413345864
RUNX1,4549,7033.242798684207
RUNX1,4069,4214.5661075188
RUNX1,6280,4094.9583812030087
TP53,3514,25975.93444868421
TP53,3043,9444.642962781954
TP53,3501,6128.128190789473
TP53,4535,1388.3761599624013
TP53,28444,1210.3020289473684
